DSA,0,randomMaxDisCSP_1577272024016,random_Max-DisCSP.xml,20,1,1,2,1,0.2,1,0.1625,0,491,398,8376,228,0,null,0
MaxSum,0,randomMaxDisCSP_1577272024016,random_Max-DisCSP.xml,20,1,1,2,1,0.2,1,0.1625,0,267,3,1572,676,-1,null,0
MGM,0,randomMaxDisCSP_1577272024016,random_Max-DisCSP.xml,20,1,1,2,1,0.2,1,0.1625,0,409,800,25016,222,0,null,0
DSA,0,randomMaxDisCSP_1577272027223,random_Max-DisCSP.xml,20,1,1,2,1,0.3,1,0.2875,0,464,398,8392,228,0,null,0
MaxSum,0,randomMaxDisCSP_1577272027223,random_Max-DisCSP.xml,20,1,1,2,1,0.3,1,0.2875,0,288,3,1572,676,-1,null,1
MGM,0,randomMaxDisCSP_1577272027223,random_Max-DisCSP.xml,20,1,1,2,1,0.3,1,0.2875,0,487,800,25016,222,0,null,0
DSA,0,randomMaxDisCSP_1577272030681,random_Max-DisCSP.xml,20,1,1,2,1,0.4,1,0.405,0,498,398,8376,228,0,null,0
MaxSum,0,randomMaxDisCSP_1577272030681,random_Max-DisCSP.xml,20,1,1,2,1,0.4,1,0.405,0,269,3,1572,676,-1,null,0
MGM,0,randomMaxDisCSP_1577272030681,random_Max-DisCSP.xml,20,1,1,2,1,0.4,1,0.405,0,457,800,25016,222,0,null,0
DSA,0,randomMaxDisCSP_1577272034118,random_Max-DisCSP.xml,20,1,1,2,1,0.7,1,0.652499999999997,0,576,398,8400,228,0,null,0
MaxSum,0,randomMaxDisCSP_1577272034118,random_Max-DisCSP.xml,20,1,1,2,1,0.7,1,0.652499999999997,0,287,3,1572,676,-1,null,1
MGM,0,randomMaxDisCSP_1577272034118,random_Max-DisCSP.xml,20,1,1,2,1,0.7,1,0.652499999999997,0,495,800,25024,222,0,null,0
DSA,0,randomMaxDisCSP_1577272037810,random_Max-DisCSP.xml,20,1,1,2,1,0.9,1,0.882499999999992,0,508,398,8384,228,0,null,0
MaxSum,0,randomMaxDisCSP_1577272037810,random_Max-DisCSP.xml,20,1,1,2,1,0.9,1,0.882499999999992,0,298,4,1795,676,-1,null,1
MGM,0,randomMaxDisCSP_1577272037810,random_Max-DisCSP.xml,20,1,1,2,1,0.9,1,0.882499999999992,0,516,800,25024,222,0,null,0
DSA,0,randomMaxDisCSP_1577272041386,random_Max-DisCSP.xml,20,2,1,3,1,0.2,1,0.213333333333333,0,696,1194,25128,228,0,null,0
MaxSum,0,randomMaxDisCSP_1577272041386,random_Max-DisCSP.xml,20,2,1,3,1,0.2,1,0.213333333333333,0,270,9,4716,676,-1,null,1
MGM,0,randomMaxDisCSP_1577272041386,random_Max-DisCSP.xml,20,2,1,3,1,0.2,1,0.213333333333333,0,679,2400,75048,222,0,null,0
DSA,0,randomMaxDisCSP_1577272047040,random_Max-DisCSP.xml,20,2,1,3,1,0.3,1,0.289166666666667,0,712,1194,25160,228,0,null,0
MaxSum,0,randomMaxDisCSP_1577272047040,random_Max-DisCSP.xml,20,2,1,3,1,0.3,1,0.289166666666667,0,255,9,4716,676,-1,null,1
MGM,0,randomMaxDisCSP_1577272047040,random_Max-DisCSP.xml,20,2,1,3,1,0.3,1,0.289166666666667,0,752,2400,75048,222,0,null,0
DSA,0,randomMaxDisCSP_1577272052827,random_Max-DisCSP.xml,20,2,1,3,1,0.4,1,0.410833333333336,0,694,1194,25144,228,0,null,0
MaxSum,0,randomMaxDisCSP_1577272052827,random_Max-DisCSP.xml,20,2,1,3,1,0.4,1,0.410833333333336,0,270,9,4716,676,-1,null,0
MGM,0,randomMaxDisCSP_1577272052827,random_Max-DisCSP.xml,20,2,1,3,1,0.4,1,0.410833333333336,0,687,2400,75080,222,0,null,0
DSA,0,randomMaxDisCSP_1577272058539,random_Max-DisCSP.xml,20,2,1,3,1,0.7,1,0.70500000000001,0,744,1194,25160,228,0,null,0
MaxSum,0,randomMaxDisCSP_1577272058539,random_Max-DisCSP.xml,20,2,1,3,1,0.7,1,0.70500000000001,0,264,9,4716,676,-1,null,1
MGM,0,randomMaxDisCSP_1577272058539,random_Max-DisCSP.xml,20,2,1,3,1,0.7,1,0.70500000000001,0,712,2400,75048,222,0,null,0
